User_Question,Intent,Reply,Predicted_Intent,Generated_Reply,Helpfulness,Relevance,Groundedness,Correctness
I cannot sign in to my Xbox account,account_login,"Which issue are you facing: changed password, forgot password, forgot email/phone, error message, or Xbox network sign-in problem?",account_login,"Hello! It sounds like you're having trouble signing in to your Xbox account. Could you please check if you're entering your username and password correctly? Sometimes, mistyping can cause issues. If you're sure you're entering it right, let us know and we can look into it further.",1,1,1,1
I forgot my Microsoft account password. How can I reset it?,account_login,"Go to Reset your password, enter your Microsoft account email, verify your identity with a security code, and then create a new password",account_login,"Sure, I can help with that. If you know your password, you can reset your Microsoft account password through this link: https://account.microsoft.com/account/password. Follow the steps to reset it. If you need further assistance, feel free to ask.",1,1,1,1
Why was I charged twice for my Xbox subscription?,payment_billing,"You may see what looks like a double charge if a renewal, a retried past-due payment, multiple purchases grouped as one, or another active XBOX subscription on a different account were all billed around the same time.",payment_billing,This issue needs to be reviewed by a human support agent.,1,1,1,1
How do I request a refund for a game I purchased?,refund,"Sign in to the purchasing account, open purchase history, select the game, and submit a refund request with your reason.",refund,This issue needs to be reviewed by a human support agent.,1,1,1,1
My Game Pass subscription is not working,subscription,"Check that your Xbox Game Pass is active, the game is still available, your device meets its requirements, and Xbox services are online.",subscription,"Hello, it sounds like you're having trouble with your Game Pass subscription. Could you please provide your Gamertag so we can check and see what might be causing the issue?",1,1,1,1
My Xbox controller will not connect to the console,controller,"Power cycle your console, test the controller via USB, then re-sync it wirelessly if it works.",controller,"Hello, 

I understand you're having trouble connecting your Xbox controller to your console. Let's try these steps: 

1. Make sure the controller is fully charged or connected to a power source.
2. Turn off your console and controller, then turn them both back on.
3. Remove and reinsert the controller's USB receiver.
4. Check that the controller is in the correct pairing mode (Xbox button held down for 5 seconds).
5. Make sure your console is updated to the latest version.

If you've tried these steps and are still having issues, please let me know and we can explore further solutions.",1,1,1,1
The buttons on my controller are not responding,controller,"Check the game’s controller settings, then review or reset your button mapping in Settings, and test the buttons in the XBOX Accessories app.",controller,"Hi, it sounds like you're having trouble with your controller buttons. Let's try a power cycle and see if that helps. Turn off the controller and remove the batteries for about 30 seconds, then put the batteries back in and turn it back on. Let me know how it goes.",1,1,1,1
My Xbox keeps disconnecting from Wi-Fi,network_connection,"Power cycle your Xbox and router, move the console closer to the router, and reduce Wi-Fi interference from walls or metal objects.",network_connection,"Hello, I understand your Xbox keeps disconnecting from Wi-Fi. Could you try restarting your Xbox and your router to see if that resolves the issue? Sometimes a simple restart can fix connectivity problems.",2,3,3,2
I cannot play multiplayer games online,network_connection,"Check that your subscription is active, the game needs no extra content, and test your connection and NAT type under Settings",network_connection,"Hi there! It sounds like you're having trouble playing multiplayer games online. Let's try a power cycle. Unplug your Xbox and router for 5 minutes, then plug everything back in and sign back into your console. If you're still having issues, we can look into other troubleshooting steps.",1,1,1,1
My Xbox console will not turn on,console_hardware,"Unplug the Xbox for 10 seconds, reconnect it, press the Xbox button, and check the outlet and cables if it still won’t turn on.",console_hardware,"Hi, I understand you're having trouble with your Xbox console. Have you tried unplugging the console for about 10 seconds and then plugging it back in? Sometimes a simple restart can fix the issue. If that doesn't work, could you check if the console is directly connected to a wall outlet and not just a power strip?",1,1,1,1
My console turns off while I am playing,console_hardware,"This usually means overheating, power, or auto-shutdown settings—cool the console, ensure good ventilation, and check Settings",console_hardware,"Hello! It sounds like your Xbox might be shutting off unexpectedly during gameplay. Let's try a few steps to troubleshoot. First, make sure your power source is stable and not too low. Then, go into Settings, then System, and then Power Options. Make sure your console is set to ""Never turn off"" under the ""When the power button is pressed"" section. If this doesn't help, we might need to look into a more detailed issue. Would you like to try this setting change?",1,1,1,1
Why is my game download stuck?,game_installation,"Check Xbox service status, available storage, and the download queue in My games & apps to ensure the install isn’t paused.",game_installation,Hello! Could you please tell me which game you're trying to download and if you're using an external hard drive? ^JW,1,1,1,1
I cannot install a game on my Xbox,game_installation,"Check Xbox service status, sign in, ensure enough storage and system updates, then resume or restart the install from My games & apps",game_installation,"Hello, it sounds like you're having trouble installing a game on your Xbox. Could you please check if your Xbox is connected to the internet and try restarting both your Xbox and your router? Sometimes a simple restart can resolve connectivity issues. If the problem persists, you might want to try adding the game to your library from the Xbox home screen instead of installing it directly from the disc.",1,1,1,1
My game crashes every time I open it.,game_error,"Check for XBOX service issues, then exit and restart the game, power cycle your console, and verify your network connection if it still crashes.",game_error,"Hi, it sounds like your game is having trouble loading. Can you please tell me your Gamertag so I can look into this issue for you? Also, is the game crashing every time you try to open it, or only when you load a specific save file?",1,1,1,1
I receive an error when trying to start my game,game_error,"Finish all updates, restart the game, and power cycle the console if needed.",game_error,"Hello, it sounds like you're experiencing some issues with your Xbox while trying to start a game. Let's try resetting your console. First, make sure to save any work you're doing. Then, turn off your Xbox, unplug it from the power source for about 5 minutes, and then plug it back in. Finally, turn your Xbox back on and see if the problem is resolved.",1,1,1,1
My Xbox is running very slowly,console_hardware,Run Settings > General > Network settings > Test network connection and Test network speed & statistics to check for network issues.,network_connection,"Hello, it sounds like your Xbox might be having some issues with its network connection. Could you check your internet connection and make sure it's stable? Sometimes a slow network can cause the Xbox to run more slowly. If the issue persists, we may need to look into resetting your Xbox.",1,1,1,1
I cannot access my purchased games,payment_billing,Sign in with the purchasing account and check your order history to confirm the games weren’t refunded or canceled and you still have the license.,game_installation,Hello! It sounds like you're having trouble accessing your purchased games. Could you please DM us your Gamertag so we can look into this for you? ^Z,1,1,1,1
How can I change my Xbox account email address?,account_login,"Go to account.microsoft.com > Your info > Manage how you sign in, add an email alias, and set it as your primary sign-in address.",account_login,"Hello, to change your Xbox account email, you can go to your account settings and try to update your email there. If you're still having trouble, you might need to contact Xbox support for further assistance.",1,1,1,1
I think someone has hacked my Xbox account,account_login,Reset your Microsoft account password immediately and follow the compromised account steps to secure your info and lock out any attacker.,account_login,This issue needs to be reviewed by a human support agent.,1,1,1,1
I was charged for something I did not purchase,payment_billing,"Sign in to your Microsoft account, check Xbox purchase history for the charge, and submit a refund request if it’s unauthorized.",payment_billing,"Hi there, it sounds like you're experiencing an issue with an unexpected charge. Could you please provide your Gamertag so we can look into this for you? ^G",1,1,1,1
